panel,order_in_panel,assay,lloq,uloq,lod,pos.cutoff,assay_label,assay_label_short,llox_label
bindSpike,1,bindSpike,69,14400000,8,69,Binding Antibody to Spike D614,Anti Spike IgG D614 (AU/ml),lloq
bindSpike,6,bindSpike_BA.1,102,1180000,4,102,Binding Antibody to Spike BA.1,Anti Spike IgG BA.1 (AU/ml),lloq
bindSpike,2,bindSpike_Gamma,143,5800000,8,143,Binding Antibody to Spike Gamma,Anti Spike IgG Gamma (AU/ml),lloq
bindSpike,3,bindSpike_Alpha,52,8800000,13,52,Binding Antibody to Spike Alpha,Anti Spike IgG Alpha (AU/ml),lloq
bindSpike,4,bindSpike_Beta,111,5000000,10,111,Binding Antibody to Spike Beta,Anti Spike IgG Beta (AU/ml),lloq
bindSpike,5,bindSpike_Delta,150,8000000,7,150,Binding Antibody to Spike Delta,Anti Spike IgG Delta (AU/ml),lloq
bindRBD,1,bindRBD,79,5800000,5,79,Binding Antibody to RBD D614,Anti RBD IgG D614 (AU/ml),lloq
id50,1,pseudoneutid50,10,111433,NA,10,PsV Neutralization to D614G,Pseudovirus-nAb D614G (AU/ml),lloq
id50,2,pseudoneutid50_BA.1,8,24503,8,8,PsV Neutralization to BA.1,Pseudovirus-nAb BA.1 (AU/ml),lloq
id50_scaled,1,pseudoneutid50_scaled,2.326923,25929.6,NA,2.326923,PsV Neutralization to D614G (scaled),Pseudovirus-nAb D614G (scaled AU/ml),lloq
id50_scaled,2,pseudoneutid50_BA.1_scaled,1.86154,5701.66,1.86154,1.86154,PsV Neutralization to BA.1 (scaled),Pseudovirus-nAb BA.1 (scaled AU/ml),lloq
