"","varset","AUCstr"
"1","9_M7IgG3_gp41","0.579 [0.472, 0.686]"
"2","23_M7_3_13","0.564 [0.461, 0.666]"
"3","29_M7_2_3_13","0.562 [0.459, 0.665]"
"4","11_M7IgG3_multi","0.560 [0.456, 0.663]"
"5","20_M7_2_13","0.558 [0.456, 0.660]"
"6","13_M7ADCC","0.557 [0.454, 0.661]"
"7","10_M7IgG3_breadthScore","0.552 [0.444, 0.660]"
"8","12_M7IgGt_V1V2","0.550 [0.445, 0.656]"
"9","31_M7_3_4_13","0.550 [0.448, 0.653]"
"10","34_M7_2_3_4_13","0.550 [0.446, 0.653]"
"11","1_baselineFactors","0.544 [0.432, 0.656]"
"12","25_M7_4_13","0.542 [0.439, 0.645]"
"13","5_M7IgG3","0.542 [0.437, 0.647]"
"14","8_M7IgG3_V1V2","0.535 [0.429, 0.640]"
"15","4_M7ADCP","0.528 [0.427, 0.628]"
"16","14_M7_combPrimaryMarkers","0.527 [0.422, 0.632]"
"17","2_M7ELISA","0.523 [0.415, 0.632]"
"18","15_M7_combAllMarkers","0.521 [0.416, 0.625]"
"19","16_M7_overallScore","0.516 [0.413, 0.620]"
"20","7_M7IgG3_gp120","0.516 [0.404, 0.628]"
"21","26_M7_5_12_13","0.515 [0.415, 0.615]"
"22","18_M7_2_4","0.513 [0.414, 0.612]"
"23","22_M7_3_5_12","0.511 [0.405, 0.618]"
"24","19_M7_2_5_12","0.511 [0.406, 0.616]"
"25","6_M7IgG3_gp140","0.510 [0.406, 0.615]"
"26","32_M7_4_5_12_13","0.509 [0.409, 0.609]"
"27","28_M7_2_3_5_12","0.508 [0.402, 0.614]"
"28","27_M7_2_3_4","0.507 [0.401, 0.612]"
"29","35_M7_3_4_5_12_13","0.505 [0.405, 0.605]"
"30","24_M7_4_5_12","0.505 [0.400, 0.610]"
"31","36_M7_2_3_4_5_12_13","0.504 [0.403, 0.604]"
"32","30_M7_3_4_5_12","0.501 [0.395, 0.607]"
"33","17_M7_2_3","0.497 [0.386, 0.608]"
"34","33_M7_2_3_4_5_12","0.496 [0.390, 0.602]"
"35","21_M7_3_4","0.495 [0.391, 0.599]"
"36","3_M7Tcells","0.488 [0.378, 0.598]"
