"","varset_no","varset_names"
"1",1,"1_baselineRiskFactors"
"2",2,"2_bAbSpike_D57"
"3",3,"3_bAbRBD_D57"
"4",4,"4_pnabID50_D57"
"5",5,"5_pnabID80_D57"
"6",6,"6_lnabMN50_D57"
"7",7,"7_bAb_pnabID50_D57"
"8",8,"8_bAb_pnabID80_D57"
"9",9,"9_bAb_lnabMN50_D57"
"10",10,"10_bAb_combScores_D57"
"11",11,"11_allMarkers_D57"
"12",12,"12_allMarkers_combScores_D57"
"13",13,"13_bAbSpike_D29"
"14",14,"14_bAbRBD_D29"
"15",15,"15_pnabID50_D29"
"16",16,"16_pnabID80_D29"
"17",17,"17_lnabMN50_D29"
"18",18,"18_bAb_pnabID50_D29"
"19",19,"19_bAb_pnabID80_D29"
"20",20,"20_bAb_lnabMN50_D29"
"21",21,"21_bAb_combScores_D29"
"22",22,"22_allMarkers_D29"
"23",23,"23_allMarkers_combScores_D29"
"24",24,"24_bAbSpike_D29_D57"
"25",25,"25_bAbRBD_D29_D57"
"26",26,"26_pnabID50_D29_D57"
"27",27,"27_pnabID80_D29_D57"
"28",28,"28_lnabMN50_D29_D57"
"29",29,"29_bAb_pnabID50_D29_D57"
"30",30,"30_bAb_pnabID80_D29_D57"
"31",31,"31_bAb_lnabMN50_D29_D57"
"32",32,"32_bAb_combScores_D29_D57"
"33",33,"33_allMarkers_D29_D57"
"34",34,"34_allMarkers_combScores_D29_D57"
"35",35,"Day57bindSpike"
"36",36,"Day57bindRBD"
"37",37,"Day57pseudoneutid50"
"38",38,"Delta57overBpseudoneutid50_2fold"
"39",39,"Delta57overBpseudoneutid50_4fold"
"40",40,"Day57pseudoneutid80"
"41",41,"Delta57overBpseudoneutid80_4fold"
"42",42,"Day57liveneutmn50"
"43",43,"Delta57overBliveneutmn50_4fold"
"44",44,"Day29bindSpike"
"45",45,"Day29bindRBD"
"46",46,"Delta29overBbindRBD_2fold"
"47",47,"Delta29overBbindRBD_4fold"
"48",48,"Day29pseudoneutid50"
"49",49,"Delta29overBpseudoneutid50_2fold"
"50",50,"Delta29overBpseudoneutid50_4fold"
"51",51,"Day29pseudoneutid80"
"52",52,"Delta29overBpseudoneutid80_2fold"
"53",53,"Delta29overBpseudoneutid80_4fold"
"54",54,"Day29liveneutmn50"
"55",55,"Delta29overBliveneutmn50_2fold"
"56",56,"Delta29overBliveneutmn50_4fold"
"57",57,"comb_PC1_d57"
"58",58,"comb_PC2_d57"
"59",59,"comb_maxsig.div.score_d57"
"60",60,"comb_PC1_d29"
"61",61,"comb_PC2_d29"
"62",62,"comb_maxsig.div.score_d29"
"63",63,"comb_PC1_d57_d29"
"64",64,"comb_PC2_d57_d29"
"65",65,"comb_maxsig.div.score_d57_d29"
"66",66,"comb_nlPCA1_d57"
"67",67,"comb_nlPCA2_d57"
"68",68,"comb_nlPCA1_d29"
"69",69,"comb_nlPCA2_d29"
"70",70,"comb_nlPCA1_d57_d29"
"71",71,"comb_nlPCA2_d57_d29"
